2019-07-01 18:57:20.629 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-07-01 18:57:21.048 [Thread-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-07-01 18:57:34.784 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-07-01 18:57:35.214 [Thread-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-07-01 18:58:15.243 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-07-01 18:58:15.266 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@48a242ce, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1e4a7dd4, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4f51b3e0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4b9e255, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5e57643e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@133e16fd]
2019-07-01 18:58:15.340 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/applicationContext.xml]
2019-07-01 18:58:15.553 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@3c0a50da: startup date [Mon Jul 01 18:58:15 CST 2019]; root of context hierarchy
2019-07-01 18:58:16.369 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-07-01 18:58:16.788 [Thread-0] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@3c0a50da: startup date [Mon Jul 01 18:58:15 CST 2019]; root of context hierarchy
2019-07-01 18:58:16.794 [Thread-0] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-07-01 18:58:43.393 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-07-01 18:58:43.418 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@48a242ce, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1e4a7dd4, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4f51b3e0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4b9e255, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5e57643e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@133e16fd]
2019-07-01 18:58:43.503 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/applicationContext.xml]
2019-07-01 18:58:43.724 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@3c0a50da: startup date [Mon Jul 01 18:58:43 CST 2019]; root of context hierarchy
2019-07-01 18:58:44.529 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-07-01 18:58:44.922 [Thread-0] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@3c0a50da: startup date [Mon Jul 01 18:58:43 CST 2019]; root of context hierarchy
2019-07-01 18:58:44.926 [Thread-0] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-07-01 18:59:30.869 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-07-01 18:59:31.249 [Thread-0] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-07-01 18:59:51.531 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-07-01 18:59:51.928 [Thread-0] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
