2019-07-01 19:00:04.929 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-07-01 19:00:04.951 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@48a242ce, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1e4a7dd4, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4f51b3e0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4b9e255, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5e57643e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@133e16fd]
2019-07-01 19:00:05.031 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/applicationContext.xml]
2019-07-01 19:00:05.251 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@3c0a50da: startup date [Mon Jul 01 19:00:05 CST 2019]; root of context hierarchy
2019-07-01 19:00:06.004 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-07-01 19:00:06.378 [Thread-0] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@3c0a50da: startup date [Mon Jul 01 19:00:05 CST 2019]; root of context hierarchy
2019-07-01 19:00:06.384 [Thread-0] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-07-01 19:00:19.351 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-07-01 19:00:19.777 [Thread-0] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-07-01 19:02:00.017 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-07-01 19:02:00.753 [Thread-0] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-07-01 19:02:00.783 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-07-01 19:02:01.238 [Thread-0] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
